Symbol,Company,Sector,Founded
IFF,International Flavors & Fragrances,Specialty Chemicals,"New York City, New York"
IP,International Paper,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee"
IPG,Interpublic Group of Companies (The),Advertising,"New York City, New York"
INTU,Intuit,Application Software,"Mountain View, California"
ISRG,Intuitive Surgical,Health Care Equipment,"Sunnyvale, California"
IVZ,Invesco,Asset Management & Custody Banks,"Atlanta, Georgia"
INVH,Invitation Homes,Single-Family Residential REITs,"Dallas, Texas"
IQV,IQVIA,Life Sciences Tools & Services,"Durham, North Carolina"
IRM,Iron Mountain,Other Specialized REITs,"Boston, Massachusetts"
JBHT,J.B. Hunt,Cargo Ground Transportation,"Lowell, Arkansas"
JBL,Jabil,Electronic Manufacturing Services,"St. Petersburg, Florida"
JKHY,Jack Henry & Associates,Transaction & Payment Processing Services,"Monett, Missouri"
J,Jacobs Solutions,Construction & Engineering,"Dallas, Texas"
JNJ,Johnson & Johnson,Pharmaceuticals,"New Brunswick, New Jersey"
JCI,Johnson Controls,Building Products,"Cork, Ireland"
JPM,JPMorgan Chase,Diversified Banks,"New York City, New York"
JNPR,Juniper Networks,Communications Equipment,"Sunnyvale, California"
K,Kellanova,Packaged Foods & Meats,"Chicago, Illinois"
KVUE,Kenvue,Personal Care Products,"Skillman, New Jersey"
KDP,Keurig Dr Pepper,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts"
KEY,KeyCorp,Regional Banks,"Cleveland, Ohio"
KEYS,Keysight Technologies,Electronic Equipment & Instruments,"Santa Rosa, California"
KMB,Kimberly-Clark,Household Products,"Irving, Texas"
KIM,Kimco Realty,Retail REITs,"Jericho, New York"
KMI,Kinder Morgan,Oil & Gas Storage & Transportation,"Houston, Texas"
KKR,KKR & Co.,Asset Management & Custody Banks,"New York City, New York"
KLAC,KLA Corporation,Semiconductor Materials & Equipment,"Milpitas, California"
KHC,Kraft Heinz,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania"
KR,Kroger,Food Retail,"Cincinnati, Ohio"
LHX,L3Harris,Aerospace & Defense,"Melbourne, Florida"
LH,Labcorp,Health Care Services,"Burlington, North Carolina"
LRCX,Lam Research,Semiconductor Materials & Equipment,"Fremont, California"
LW,Lamb Weston,Packaged Foods & Meats,"Eagle, Idaho"
LVS,Las Vegas Sands,Casinos & Gaming,"Las Vegas, Nevada"
LDOS,Leidos,Diversified Support Services,"Reston, Virginia"
LEN,Lennar,Homebuilding,"Miami, Florida"
LII,Lennox International,Building Products,"Richardson, Texas"
LLY,Lilly (Eli),Pharmaceuticals,"Indianapolis, Indiana"
LIN,Linde plc,Industrial Gases,"Guildford, United Kingdom"
LYV,Live Nation Entertainment,Movies & Entertainment,"Beverly Hills, California"
LKQ,LKQ Corporation,Distributors,"Chicago, Illinois"
LMT,Lockheed Martin,Aerospace & Defense,"Bethesda, Maryland"
L,Loews Corporation,Multi-line Insurance,"New York City, New York"
LOW,Lowe's,Home Improvement Retail,"Mooresville, North Carolina"
LULU,Lululemon Athletica,"Apparel, Accessories & Luxury Goods","Vancouver, Canada"
LYB,LyondellBasell,Specialty Chemicals,"Rotterdam, Netherlands"
MTB,M&T Bank,Regional Banks,"Buffalo, New York"
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing,"Findlay, Ohio"
MKTX,MarketAxess,Financial Exchanges & Data,"New York City, New York"
MAR,Marriott International,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland"
MMC,Marsh McLennan,Insurance Brokers,"New York City, New York"
MLM,Martin Marietta Materials,Construction Materials,"Raleigh, North Carolina"
MAS,Masco,Building Products,"Livonia, Michigan"
MA,Mastercard,Transaction & Payment Processing Services,"Harrison, New York"
MTCH,Match Group,Interactive Media & Services,"Dallas, Texas"
MKC,McCormick & Company,Packaged Foods & Meats,"Hunt Valley, Maryland"
MCD,McDonald's,Restaurants,"Chicago, Illinois"
MCK,McKesson Corporation,Health Care Distributors,"Irving, Texas"
MDT,Medtronic,Health Care Equipment,"Dublin, Ireland"
MRK,Merck & Co.,Pharmaceuticals,"Kenilworth, New Jersey"
META,Meta Platforms,Interactive Media & Services,"Menlo Park, California"
MET,MetLife,Life & Health Insurance,"New York City, New York"
MTD,Mettler Toledo,Life Sciences Tools & Services,"Columbus, Ohio"
